id_code,experiment,plate,well,sirna
HEPG2-02_3_C23,HEPG2-02,3,C23,sirna_0
HEPG2-02_3_E07,HEPG2-02,3,E07,sirna_10
HEPG2-02_3_F13,HEPG2-02,3,F13,sirna_85
HEPG2-02_3_G13,HEPG2-02,3,G13,sirna_20
HEPG2-02_3_H08,HEPG2-02,3,H08,sirna_16
HEPG2-02_3_H09,HEPG2-02,3,H09,sirna_74
HEPG2-02_3_H18,HEPG2-02,3,H18,sirna_2
HEPG2-02_3_I23,HEPG2-02,3,I23,sirna_84
HEPG2-02_3_J09,HEPG2-02,3,J09,sirna_1
HEPG2-02_3_J10,HEPG2-02,3,J10,sirna_69
HEPG2-02_3_K06,HEPG2-02,3,K06,sirna_22
HEPG2-02_3_K08,HEPG2-02,3,K08,sirna_11
HEPG2-02_3_K13,HEPG2-02,3,K13,sirna_50
HEPG2-02_3_K19,HEPG2-02,3,K19,sirna_17
HEPG2-02_3_K23,HEPG2-02,3,K23,sirna_21
HEPG2-02_3_L04,HEPG2-02,3,L04,sirna_44
HEPG2-02_3_L06,HEPG2-02,3,L06,sirna_89
HEPG2-02_3_L09,HEPG2-02,3,L09,sirna_24
HEPG2-02_3_L21,HEPG2-02,3,L21,sirna_6
HEPG2-02_3_L23,HEPG2-02,3,L23,sirna_5
HEPG2-02_3_O12,HEPG2-02,3,O12,sirna_76
HEPG2-02_3_O17,HEPG2-02,3,O17,sirna_87
HEPG2-02_4_B11,HEPG2-02,4,B11,sirna_91
HEPG2-02_4_B20,HEPG2-02,4,B20,sirna_29
HEPG2-02_4_B22,HEPG2-02,4,B22,sirna_81
HEPG2-02_4_B23,HEPG2-02,4,B23,sirna_31
HEPG2-02_4_C21,HEPG2-02,4,C21,sirna_53
HEPG2-02_4_D14,HEPG2-02,4,D14,sirna_36
HEPG2-02_4_G11,HEPG2-02,4,G11,sirna_83
HEPG2-02_4_H02,HEPG2-02,4,H02,sirna_12
HEPG2-02_4_J06,HEPG2-02,4,J06,sirna_94
HEPG2-02_4_K14,HEPG2-02,4,K14,sirna_35
HEPG2-02_4_M21,HEPG2-02,4,M21,sirna_19
HEPG2-02_4_N07,HEPG2-02,4,N07,sirna_27
HEPG2-02_4_O05,HEPG2-02,4,O05,sirna_98
HEPG2-03_1_B05,HEPG2-03,1,B05,sirna_66
HEPG2-03_1_B06,HEPG2-03,1,B06,sirna_63
HEPG2-03_1_B17,HEPG2-03,1,B17,sirna_33
HEPG2-03_1_B23,HEPG2-03,1,B23,sirna_62
HEPG2-03_1_C10,HEPG2-03,1,C10,sirna_58
HEPG2-03_1_C12,HEPG2-03,1,C12,sirna_82
HEPG2-03_1_E02,HEPG2-03,1,E02,sirna_43
HEPG2-03_1_E11,HEPG2-03,1,E11,sirna_13
HEPG2-03_1_F23,HEPG2-03,1,F23,sirna_93
HEPG2-03_1_G12,HEPG2-03,1,G12,sirna_15
HEPG2-03_1_G15,HEPG2-03,1,G15,sirna_60
HEPG2-03_1_I09,HEPG2-03,1,I09,sirna_51
HEPG2-03_1_I19,HEPG2-03,1,I19,sirna_45
HEPG2-03_1_J06,HEPG2-03,1,J06,sirna_86
HEPG2-03_1_K06,HEPG2-03,1,K06,sirna_39
HEPG2-03_1_K11,HEPG2-03,1,K11,sirna_23
HEPG2-03_1_K15,HEPG2-03,1,K15,sirna_90
HEPG2-03_1_K21,HEPG2-03,1,K21,sirna_78
HEPG2-03_1_M02,HEPG2-03,1,M02,sirna_99
HEPG2-03_1_M08,HEPG2-03,1,M08,sirna_88
HEPG2-03_1_N21,HEPG2-03,1,N21,sirna_46
HEPG2-03_1_N22,HEPG2-03,1,N22,sirna_18
HEPG2-03_1_O05,HEPG2-03,1,O05,sirna_95
HEPG2-03_2_B04,HEPG2-03,2,B04,sirna_30
HEPG2-03_2_B11,HEPG2-03,2,B11,sirna_8
HEPG2-03_2_C08,HEPG2-03,2,C08,sirna_41
HEPG2-03_2_C12,HEPG2-03,2,C12,sirna_65
HEPG2-03_2_C21,HEPG2-03,2,C21,sirna_77
HEPG2-03_2_C23,HEPG2-03,2,C23,sirna_79
HEPG2-03_2_D02,HEPG2-03,2,D02,sirna_42
HEPG2-03_2_D11,HEPG2-03,2,D11,sirna_38
HEPG2-03_2_D13,HEPG2-03,2,D13,sirna_57
HEPG2-03_2_D16,HEPG2-03,2,D16,sirna_73
HEPG2-03_2_D23,HEPG2-03,2,D23,sirna_70
HEPG2-03_2_E05,HEPG2-03,2,E05,sirna_64
HEPG2-03_2_E06,HEPG2-03,2,E06,sirna_68
HEPG2-03_2_E14,HEPG2-03,2,E14,sirna_59
HEPG2-03_2_E16,HEPG2-03,2,E16,sirna_49
HEPG2-03_2_E21,HEPG2-03,2,E21,sirna_4
HEPG2-03_2_F12,HEPG2-03,2,F12,sirna_3
HEPG2-03_2_G04,HEPG2-03,2,G04,sirna_96
HEPG2-03_2_G22,HEPG2-03,2,G22,sirna_67
HEPG2-03_2_H04,HEPG2-03,2,H04,sirna_14
HEPG2-03_2_H18,HEPG2-03,2,H18,sirna_34
HEPG2-03_2_I10,HEPG2-03,2,I10,sirna_7
HEPG2-03_2_I16,HEPG2-03,2,I16,sirna_92
HEPG2-03_2_I17,HEPG2-03,2,I17,sirna_72
HEPG2-03_2_I19,HEPG2-03,2,I19,sirna_71
HEPG2-03_2_J05,HEPG2-03,2,J05,sirna_26
HEPG2-03_2_J08,HEPG2-03,2,J08,sirna_28
HEPG2-03_2_J10,HEPG2-03,2,J10,sirna_47
HEPG2-03_2_J12,HEPG2-03,2,J12,sirna_97
HEPG2-03_2_K06,HEPG2-03,2,K06,sirna_9
HEPG2-03_2_K08,HEPG2-03,2,K08,sirna_25
HEPG2-03_2_L19,HEPG2-03,2,L19,sirna_54
HEPG2-03_2_L22,HEPG2-03,2,L22,sirna_48
HEPG2-03_2_N15,HEPG2-03,2,N15,sirna_37
HEPG2-03_2_O05,HEPG2-03,2,O05,sirna_55
HEPG2-03_2_O19,HEPG2-03,2,O19,sirna_56
HEPG2-03_3_B05,HEPG2-03,3,B05,sirna_6
HEPG2-03_3_B16,HEPG2-03,3,B16,sirna_69
HEPG2-03_3_B17,HEPG2-03,3,B17,sirna_76
HEPG2-03_3_C04,HEPG2-03,3,C04,sirna_5
HEPG2-03_3_C06,HEPG2-03,3,C06,sirna_2
HEPG2-03_3_D07,HEPG2-03,3,D07,sirna_74
HEPG2-03_3_D12,HEPG2-03,3,D12,sirna_16
HEPG2-03_3_D13,HEPG2-03,3,D13,sirna_22
HEPG2-03_3_E06,HEPG2-03,3,E06,sirna_61
HEPG2-03_3_F06,HEPG2-03,3,F06,sirna_10
HEPG2-03_3_F08,HEPG2-03,3,F08,sirna_0
HEPG2-03_3_F12,HEPG2-03,3,F12,sirna_85
HEPG2-03_3_F16,HEPG2-03,3,F16,sirna_20
HEPG2-03_3_G19,HEPG2-03,3,G19,sirna_40
HEPG2-03_3_H06,HEPG2-03,3,H06,sirna_11
HEPG2-03_3_I08,HEPG2-03,3,I08,sirna_44
HEPG2-03_3_I10,HEPG2-03,3,I10,sirna_21
HEPG2-03_3_I14,HEPG2-03,3,I14,sirna_89
HEPG2-03_3_I19,HEPG2-03,3,I19,sirna_84
HEPG2-03_3_J08,HEPG2-03,3,J08,sirna_87
HEPG2-03_3_K16,HEPG2-03,3,K16,sirna_24
HEPG2-03_3_K22,HEPG2-03,3,K22,sirna_1
HEPG2-03_3_L16,HEPG2-03,3,L16,sirna_50
HEPG2-03_3_M14,HEPG2-03,3,M14,sirna_80
HEPG2-03_3_M21,HEPG2-03,3,M21,sirna_32
HEPG2-03_3_N11,HEPG2-03,3,N11,sirna_75
HEPG2-03_3_N21,HEPG2-03,3,N21,sirna_17
HEPG2-03_4_B13,HEPG2-03,4,B13,sirna_19
HEPG2-03_4_B21,HEPG2-03,4,B21,sirna_53
HEPG2-03_4_C09,HEPG2-03,4,C09,sirna_81
HEPG2-03_4_C13,HEPG2-03,4,C13,sirna_31
HEPG2-03_4_C16,HEPG2-03,4,C16,sirna_94
HEPG2-03_4_C23,HEPG2-03,4,C23,sirna_83
HEPG2-03_4_F09,HEPG2-03,4,F09,sirna_36
HEPG2-03_4_F12,HEPG2-03,4,F12,sirna_91
HEPG2-03_4_H04,HEPG2-03,4,H04,sirna_35
HEPG2-03_4_J05,HEPG2-03,4,J05,sirna_27
HEPG2-03_4_K20,HEPG2-03,4,K20,sirna_12
HEPG2-03_4_N13,HEPG2-03,4,N13,sirna_29
HEPG2-03_4_N22,HEPG2-03,4,N22,sirna_98
HEPG2-04_1_B12,HEPG2-04,1,B12,sirna_62
HEPG2-04_1_C13,HEPG2-04,1,C13,sirna_60
HEPG2-04_1_D12,HEPG2-04,1,D12,sirna_15
HEPG2-04_1_D14,HEPG2-04,1,D14,sirna_78
HEPG2-04_1_E03,HEPG2-04,1,E03,sirna_88
HEPG2-04_1_F02,HEPG2-04,1,F02,sirna_82
HEPG2-04_1_F09,HEPG2-04,1,F09,sirna_45
HEPG2-04_1_G18,HEPG2-04,1,G18,sirna_33
HEPG2-04_1_H08,HEPG2-04,1,H08,sirna_63
HEPG2-04_1_H18,HEPG2-04,1,H18,sirna_86
HEPG2-04_1_I03,HEPG2-04,1,I03,sirna_66
HEPG2-04_1_I12,HEPG2-04,1,I12,sirna_93
HEPG2-04_1_J08,HEPG2-04,1,J08,sirna_99
HEPG2-04_1_J16,HEPG2-04,1,J16,sirna_90
HEPG2-04_1_K23,HEPG2-04,1,K23,sirna_39
HEPG2-04_1_L05,HEPG2-04,1,L05,sirna_23
HEPG2-04_1_L06,HEPG2-04,1,L06,sirna_51
HEPG2-04_1_N03,HEPG2-04,1,N03,sirna_46
HEPG2-04_1_N06,HEPG2-04,1,N06,sirna_95
HEPG2-04_1_N14,HEPG2-04,1,N14,sirna_43
HEPG2-04_1_O16,HEPG2-04,1,O16,sirna_13
HEPG2-04_1_O18,HEPG2-04,1,O18,sirna_58
HEPG2-04_1_O21,HEPG2-04,1,O21,sirna_18
HEPG2-04_2_B05,HEPG2-04,2,B05,sirna_57
HEPG2-04_2_B20,HEPG2-04,2,B20,sirna_54
HEPG2-04_2_C02,HEPG2-04,2,C02,sirna_77
HEPG2-04_2_C06,HEPG2-04,2,C06,sirna_79
HEPG2-04_2_C12,HEPG2-04,2,C12,sirna_67
HEPG2-04_2_C14,HEPG2-04,2,C14,sirna_92
HEPG2-04_2_D05,HEPG2-04,2,D05,sirna_3
HEPG2-04_2_D06,HEPG2-04,2,D06,sirna_72
HEPG2-04_2_D09,HEPG2-04,2,D09,sirna_56
HEPG2-04_2_D17,HEPG2-04,2,D17,sirna_70
HEPG2-04_2_F05,HEPG2-04,2,F05,sirna_55
HEPG2-04_2_F08,HEPG2-04,2,F08,sirna_9
HEPG2-04_2_F10,HEPG2-04,2,F10,sirna_4
HEPG2-04_2_F17,HEPG2-04,2,F17,sirna_14
HEPG2-04_2_G03,HEPG2-04,2,G03,sirna_38
HEPG2-04_2_G20,HEPG2-04,2,G20,sirna_7
HEPG2-04_2_J08,HEPG2-04,2,J08,sirna_8
HEPG2-04_2_J18,HEPG2-04,2,J18,sirna_73
HEPG2-04_2_K04,HEPG2-04,2,K04,sirna_34
HEPG2-04_2_K16,HEPG2-04,2,K16,sirna_48
HEPG2-04_2_K21,HEPG2-04,2,K21,sirna_59
HEPG2-04_2_L02,HEPG2-04,2,L02,sirna_65
HEPG2-04_2_L03,HEPG2-04,2,L03,sirna_96
HEPG2-04_2_L07,HEPG2-04,2,L07,sirna_64
HEPG2-04_2_L08,HEPG2-04,2,L08,sirna_37
HEPG2-04_2_L14,HEPG2-04,2,L14,sirna_41
HEPG2-04_2_L16,HEPG2-04,2,L16,sirna_97
HEPG2-04_2_L18,HEPG2-04,2,L18,sirna_42
HEPG2-04_2_L22,HEPG2-04,2,L22,sirna_30
HEPG2-04_2_M06,HEPG2-04,2,M06,sirna_28
HEPG2-04_2_M13,HEPG2-04,2,M13,sirna_25
HEPG2-04_2_M20,HEPG2-04,2,M20,sirna_47
HEPG2-04_2_N13,HEPG2-04,2,N13,sirna_26
HEPG2-04_2_O10,HEPG2-04,2,O10,sirna_68
HEPG2-04_2_O14,HEPG2-04,2,O14,sirna_71
HEPG2-04_2_O16,HEPG2-04,2,O16,sirna_49
HEPG2-04_3_B05,HEPG2-04,3,B05,sirna_16
HEPG2-04_3_B14,HEPG2-04,3,B14,sirna_87
HEPG2-04_3_B22,HEPG2-04,3,B22,sirna_10
HEPG2-04_3_C12,HEPG2-04,3,C12,sirna_6
HEPG2-04_3_C20,HEPG2-04,3,C20,sirna_21
HEPG2-04_3_D09,HEPG2-04,3,D09,sirna_2
HEPG2-04_3_D10,HEPG2-04,3,D10,sirna_11
HEPG2-04_3_D21,HEPG2-04,3,D21,sirna_22
HEPG2-04_3_D22,HEPG2-04,3,D22,sirna_61
HEPG2-04_3_E17,HEPG2-04,3,E17,sirna_17
HEPG2-04_3_E19,HEPG2-04,3,E19,sirna_76
HEPG2-04_3_E23,HEPG2-04,3,E23,sirna_74
HEPG2-04_3_H04,HEPG2-04,3,H04,sirna_69
HEPG2-04_3_H12,HEPG2-04,3,H12,sirna_32
HEPG2-04_3_H23,HEPG2-04,3,H23,sirna_24
HEPG2-04_3_I06,HEPG2-04,3,I06,sirna_44
HEPG2-04_3_I16,HEPG2-04,3,I16,sirna_85
HEPG2-04_3_J10,HEPG2-04,3,J10,sirna_50
HEPG2-04_3_J13,HEPG2-04,3,J13,sirna_40
HEPG2-04_3_J18,HEPG2-04,3,J18,sirna_20
HEPG2-04_3_K08,HEPG2-04,3,K08,sirna_0
HEPG2-04_3_K21,HEPG2-04,3,K21,sirna_75
HEPG2-04_3_L03,HEPG2-04,3,L03,sirna_80
HEPG2-04_3_L10,HEPG2-04,3,L10,sirna_5
HEPG2-04_3_L21,HEPG2-04,3,L21,sirna_84
HEPG2-04_3_M10,HEPG2-04,3,M10,sirna_89
HEPG2-04_3_O13,HEPG2-04,3,O13,sirna_1
HEPG2-04_4_C13,HEPG2-04,4,C13,sirna_12
HEPG2-04_4_D16,HEPG2-04,4,D16,sirna_91
HEPG2-04_4_D22,HEPG2-04,4,D22,sirna_27
HEPG2-04_4_G10,HEPG2-04,4,G10,sirna_31
HEPG2-04_4_G18,HEPG2-04,4,G18,sirna_83
HEPG2-04_4_G21,HEPG2-04,4,G21,sirna_19
HEPG2-04_4_I16,HEPG2-04,4,I16,sirna_36
HEPG2-04_4_J04,HEPG2-04,4,J04,sirna_94
HEPG2-04_4_J23,HEPG2-04,4,J23,sirna_98
HEPG2-04_4_K18,HEPG2-04,4,K18,sirna_81
HEPG2-04_4_L06,HEPG2-04,4,L06,sirna_53
HEPG2-04_4_L22,HEPG2-04,4,L22,sirna_29
HEPG2-04_4_O14,HEPG2-04,4,O14,sirna_35
HEPG2-05_1_B23,HEPG2-05,1,B23,sirna_50
HEPG2-05_1_C06,HEPG2-05,1,C06,sirna_75
HEPG2-05_1_D05,HEPG2-05,1,D05,sirna_76
HEPG2-05_1_D07,HEPG2-05,1,D07,sirna_16
HEPG2-05_1_D08,HEPG2-05,1,D08,sirna_21
HEPG2-05_1_D17,HEPG2-05,1,D17,sirna_2
HEPG2-05_1_D20,HEPG2-05,1,D20,sirna_6
HEPG2-05_1_E16,HEPG2-05,1,E16,sirna_80
HEPG2-05_1_F08,HEPG2-05,1,F08,sirna_0
HEPG2-05_1_F10,HEPG2-05,1,F10,sirna_89
HEPG2-05_1_F13,HEPG2-05,1,F13,sirna_17
HEPG2-05_1_F21,HEPG2-05,1,F21,sirna_5
HEPG2-05_1_G15,HEPG2-05,1,G15,sirna_20
HEPG2-05_1_H14,HEPG2-05,1,H14,sirna_24
HEPG2-05_1_H21,HEPG2-05,1,H21,sirna_85
HEPG2-05_1_I17,HEPG2-05,1,I17,sirna_84
HEPG2-05_1_J21,HEPG2-05,1,J21,sirna_10
HEPG2-05_1_K15,HEPG2-05,1,K15,sirna_22
HEPG2-05_1_L12,HEPG2-05,1,L12,sirna_69
HEPG2-05_1_L15,HEPG2-05,1,L15,sirna_44
HEPG2-05_1_L18,HEPG2-05,1,L18,sirna_1
HEPG2-05_1_M14,HEPG2-05,1,M14,sirna_87
HEPG2-05_1_N03,HEPG2-05,1,N03,sirna_74
HEPG2-05_1_N13,HEPG2-05,1,N13,sirna_32
HEPG2-05_1_N18,HEPG2-05,1,N18,sirna_40
HEPG2-05_1_O21,HEPG2-05,1,O21,sirna_61
HEPG2-05_1_O22,HEPG2-05,1,O22,sirna_11
HEPG2-05_2_B06,HEPG2-05,2,B06,sirna_53
HEPG2-05_2_B14,HEPG2-05,2,B14,sirna_36
HEPG2-05_2_C21,HEPG2-05,2,C21,sirna_31
HEPG2-05_2_D16,HEPG2-05,2,D16,sirna_12
HEPG2-05_2_E15,HEPG2-05,2,E15,sirna_29
HEPG2-05_2_E21,HEPG2-05,2,E21,sirna_27
HEPG2-05_2_E22,HEPG2-05,2,E22,sirna_19
HEPG2-05_2_H20,HEPG2-05,2,H20,sirna_98
HEPG2-05_2_K04,HEPG2-05,2,K04,sirna_83
HEPG2-05_2_L21,HEPG2-05,2,L21,sirna_35
HEPG2-05_2_M12,HEPG2-05,2,M12,sirna_94
HEPG2-05_2_M17,HEPG2-05,2,M17,sirna_81
HEPG2-05_2_O21,HEPG2-05,2,O21,sirna_91
